Sl. No,Food Item,Recipe,Approximate Calorie per Serving
585,Dudh Khichuri (Sylhet),"To prepare a traditional Sylhet-style Dudh Khichuri, start by thoroughly washing 1 cup of Basmati or local fragrant rice and ½ cup of moong dal. In a large pot, heat 2 tablespoons of ghee. Add 2 bay leaves, 2 cardamom pods, and a small cinnamon stick, and fry until fragrant. Add the washed rice and moong dal, and toast them on medium heat for 3-4 minutes until the moong dal turns a light golden color and a nutty aroma fills the air. Pour in 3 cups of water and 2 cups of milk. Add a pinch of salt and a little sugar to balance the flavors. Stir well and bring to a boil. Reduce the heat to a low simmer, cover the pot, and cook for about 20-25 minutes, or until the rice and dal are soft and the mixture has thickened to a creamy consistency. Be sure to stir occasionally to prevent sticking. For a final touch, heat a small amount of ghee in a separate pan, add a few fried cashews and raisins, and pour this over the khichuri. You can also garnish with more ghee and a sprinkle of garam masala before serving. Serve hot.",310
586,Dudh Khichuri (Tribal),"To prepare Dudh Khichuri (Tribal), start by washing 1 cup of sticky or glutinous rice and ½ cup of split yellow lentils (moong dal), then soak them for 20–30 minutes and drain well. In a heavy-bottomed pan, heat 2–3 tablespoons of sesame oil or mustard oil and add 1 teaspoon of crushed garlic, 1 teaspoon of ginger paste, 2–3 chopped green chilies, and a pinch of salt, sautéing until aromatic. Add the drained rice and lentils, stirring gently to coat with the spices. Pour in 3 cups of fresh full-cream milk and 1 cup of water, bring to a gentle boil, then reduce the heat and simmer, covered, until the rice and lentils are fully cooked and the mixture turns creamy and slightly thick. Finish by adding 1 tablespoon of ghee or sesame oil and garnish with freshly chopped coriander or local herbs. Serve hot as a rich, comforting, and mildly spiced Tribal-style milk khichuri.",330
587,Dudh Korma (Barisal),"To prepare Barisal-style Dudh Korma, take 500 ml milk, 1 tablespoon yogurt, and 1 teaspoon turmeric powder in a pan and heat on medium flame. Add 1 teaspoon ginger paste and 1 teaspoon garlic paste and mix well. Stir in 1 teaspoon red chili powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, and salt to taste. Cook gently for 5–7 minutes while stirring continuously until the milk thickens and the spices are well incorporated. Garnish with chopped coriander leaves and serve hot.",270
588,Dudh Korma (Chattogram),"To prepare a traditional Chattogram-style Dudh Korma, start with 500g of chicken or mutton, cut into medium-sized pieces. In a large pot or pan, heat 3 tablespoons of ghee or oil. Add 2-3 whole cardamom pods, 2 cinnamon sticks, and 4-5 cloves, frying briefly until fragrant. Add 2 finely sliced medium onions and fry until translucent. Add 1 tablespoon of ginger-garlic paste and cook until the raw smell disappears. Mix in 1 teaspoon turmeric powder, 1 teaspoon cumin powder, 1 teaspoon coriander powder, and salt to taste, stirring well. Add the meat pieces and brown them on all sides. Pour in 1 cup of coconut milk and 1 cup of fresh milk, stirring to combine. Cover the pot and let it simmer on low heat for 30-40 minutes (for chicken) or 1-1.5 hours (for mutton) until the meat is tender and the gravy has thickened. Garnish with a pinch of garam masala and fresh coriander leaves before serving. Serve hot with pulao, paratha, or rice.",420
589,Dudh Korma (Dhaka),"To prepare Dhaka-style Dudh Korma, take 500 ml milk, 1 tablespoon yogurt, and 1 teaspoon turmeric powder in a pan and heat on medium flame. Add 1 teaspoon ginger paste and 1 teaspoon garlic paste and mix well. Stir in 1 teaspoon red chili powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, and salt to taste. Cook gently for 5–7 minutes while stirring continuously until the milk thickens and the spices are well incorporated. Garnish with chopped coriander leaves and serve hot.",270
590,Dudh Korma (Rajshahi),"To prepare Rajshahi-style Dudh Korma, heat 3 tablespoons of oil in a pan. Sauté 1 large chopped onion until lightly brown. Add 1 teaspoon ginger paste and 1 teaspoon garlic paste, cooking until the raw smell disappears. Mix in 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, and salt to taste. Add 1 cup thick milk and 1/2 cup coconut milk, and simmer gently for 5 minutes until the korma thickens and becomes smooth. Garnish with chopped coriander leaves and serve hot.",275
591,Dudh Korma (Sylhet),"To prepare Sylhet-style Dudh Korma, heat 3 tablespoons of oil in a pan. Sauté 1 large chopped onion until lightly brown. Add 1 teaspoon ginger paste and 1 teaspoon garlic paste, cooking until the raw smell disappears. Mix in 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, and salt to taste. Add 1 cup thick milk and 1/2 cup coconut milk, stirring gently and simmer on low heat for 5 minutes until the korma thickens smoothly. Garnish with chopped coriander leaves and serve hot.",270
592,Dudh Korma (Tribal),"To prepare Dudh Korma, a traditional tribal dish known for its rich, creamy texture and subtle sweetness, begin by heating 2 tablespoons of ghee or clarified butter in a medium-sized pot over low heat. Add 1 small cinnamon stick, 2–3 green cardamom pods, and 2 cloves, sautéing for about a minute until fragrant. Then add 1 small finely chopped onion and cook until translucent. Stir in 250 grams of bone-in chicken pieces (or goat meat, depending on regional preference), and cook until lightly browned on all sides. Next, add 1 teaspoon each of ginger and garlic paste, and sauté for another 2–3 minutes. Pour in 1 cup of full-fat milk and ½ cup of water, season with salt to taste, and bring the mixture to a gentle boil. Reduce the heat to low, cover, and let it simmer for 25–30 minutes or until the meat is tender and the milk has thickened slightly into a light gravy. Stir occasionally to prevent the milk from scorching. Once cooked, garnish with a sprinkle of freshly ground nutmeg or black pepper (optional) and serve hot with plain bhaat or flatbread.",320
593,Dudh Paturi (Barisal),"To prepare Barisal-style Dudh Paturi, mix 1 cup thick milk, 1/2 cup coconut milk, 1 teaspoon jaggery, and a pinch of salt in a bowl to form a smooth mixture. Divide this mixture among 4 medium-sized banana leaves. Optionally, sprinkle some chopped nuts or roasted sesame seeds on top. Wrap each banana leaf and steam for 10–12 minutes or cook on low heat in a pan until the milk mixture sets into a soft custard-like texture. Garnish with chopped coriander leaves or fresh coconut and serve hot.",200
594,Dudh Paturi (Chattogram),"To prepare Dudh Paturi (Chattogram), start by heating 1 liter of full-cream milk in a heavy-bottomed pan and bringing it to a gentle boil. Reduce the heat and simmer until it thickens slightly. Add ½ cup of sugar, 2–3 crushed green cardamom pods, and a small pinch of salt, stirring well. Pour a portion of the thickened milk onto a greased banana leaf, fold it carefully into a parcel, and steam the parcel over medium heat for 15–20 minutes until the milk sets into a soft, creamy pudding. Repeat with the remaining milk mixture. Serve the parcels warm, enjoying the subtle aroma of banana leaves combined with the sweet, creamy Dudh Paturi, a signature Chattogram-style dessert.",310
595,Dudh Paturi (Hill Tracts),"To prepare Dudh Paturi (Hill Tracts), start by heating 1 liter of full-cream milk in a heavy-bottomed pan, stirring frequently, and bringing it to a gentle boil. Reduce the heat and simmer until the milk thickens slightly. Add ½ cup of sugar, a pinch of salt, and 2 crushed cardamom pods, mixing well. Pour portions of the thickened milk onto greased banana leaves, fold them carefully into parcels, and steam over medium heat for 15–20 minutes until the milk sets into a soft, creamy pudding. Optionally, sprinkle a few crushed roasted sesame seeds or local nuts inside the parcels for added flavor. Serve warm, enjoying the rich, slightly nutty, and aromatic Hill Tracts-style Dudh Paturi.",315
596,Dudh Paturi (Khulna),"To prepare Khulna-style Dudh Paturi, mix 1 cup thick milk, 1/2 cup coconut milk, 1 teaspoon jaggery, and a pinch of salt in a bowl to form a smooth mixture. Divide this mixture among 4 medium-sized banana leaves. Optionally, sprinkle some chopped nuts or sesame seeds on top. Wrap each banana leaf and steam for 10–12 minutes or cook covered in a pan on low heat until the milk mixture sets into a soft custard-like texture. Before serving, garnish with a little fresh coconut or chopped coriander leaves and serve hot.",200
597,Dudh Paturi (Rajshahi),"To prepare Rajshahi-style Dudh Paturi, mix 1 cup thick milk, 1/2 cup coconut milk, 1 teaspoon jaggery, and a pinch of salt in a bowl to form a smooth mixture. Divide this mixture among 4 medium-sized banana leaves. Optionally, sprinkle some chopped nuts or sesame seeds on top. Wrap each banana leaf and steam for 10–12 minutes or cook covered in a pan on low heat until the milk mixture sets into a soft custard-like texture. Before serving, garnish with a little fresh coconut or chopped coriander leaves and serve hot.",205
598,Dudh Paturi (Rangpur),"To prepare Rangpur-style Dudh Paturi, mix 1 cup thick milk, 1/2 cup coconut milk, 1 teaspoon jaggery, and a pinch of salt in a bowl to make a smooth mixture. Divide this mixture among 4 medium-sized banana leaves. Optionally, sprinkle some chopped nuts or roasted sesame seeds on top. Wrap each banana leaf, cover, and steam for 10–12 minutes or cook on low heat in a pan until the milk mixture sets into a soft, custard-like texture. Garnish with chopped coriander leaves or fresh coconut and serve hot.",205
599,Dudh Paturi (Tribal),"To prepare Tribal-style Dudh Paturi, mix 1 cup thick milk, 1/2 cup coconut milk, 1/2 teaspoon jaggery, and a pinch of salt to form a smooth mixture. Divide this mixture among 4 medium-sized banana leaves. Optionally, sprinkle some chopped nuts or roasted sesame seeds on top. Wrap each banana leaf, cover, and steam on low heat for 10–12 minutes or cook in a pan until the milk mixture sets into a soft custard-like texture. Garnish with local herbs or chopped coriander leaves and serve hot.",240
600,Dudh Polao (Barisal),"To prepare Barisal-style Dudh Polao, rinse 2 cups of basmati or long-grain rice and soak for 20 minutes. Heat 3 tablespoons of ghee or oil in a pan, add 1/2 teaspoon cumin seeds and 1/2 teaspoon ground cardamom for tempering. Sauté 1 medium chopped onion until light brown. In a bowl, mix 1 cup thick milk, 1/2 cup coconut milk, 1/2 teaspoon black pepper, 1/2 teaspoon salt, and a little sugar to create a milk-based mixture. Combine this mixture with the soaked rice, cover, and cook on low heat for 15–20 minutes until the rice is soft and aromatic. Garnish with chopped coriander leaves or nuts and serve hot.",350
601,Dudh Polao (Chattogram),"To prepare Chattogram-style Dudh Polao, rinse 2 cups of basmati or long-grain rice and soak for 20 minutes. Heat 3 tablespoons of oil or ghee in a pan, add 1/2 teaspoon cumin seeds and 1/2 teaspoon ground cardamom for tempering. Sauté 1 medium chopped onion until light brown. In a bowl, mix 1 cup thick milk, 1/2 cup coconut milk, 1/2 teaspoon salt, 1/2 teaspoon black pepper, and a little sugar to make a milk-based mixture. Combine this mixture with the soaked rice, cover, and cook on low heat for 15–20 minutes until the rice is soft and aromatic. Garnish with chopped coriander leaves or roasted nuts and serve hot.",350
602,Dudh Polao (Dhaka),"To prepare Dhaka-style Dudh Polao, rinse 2 cups of basmati or long-grain rice and soak for 20 minutes. Heat 3 tablespoons of ghee or oil in a pan, add 1/2 teaspoon cumin seeds and 1/2 teaspoon ground cardamom for tempering. Sauté 1 medium chopped onion until light brown. In a bowl, mix 1 cup thick milk, 1/2 cup coconut milk, 1/2 teaspoon salt, 1/2 teaspoon black pepper, and a little sugar to make a milk-based mixture. Combine this mixture with the soaked rice, cover, and cook on low heat for 15–20 minutes until the rice is soft and aromatic. Garnish with chopped coriander leaves or roasted nuts and serve hot.",350
